zona,data,faixa_horaria,tipo_ocorrencia,clima,evento_especial,denuncias_app_ultimas_24h,anomalias_cameras_ultimas_24h,risco_ocorrencia,volume_estimado
Lago Norte,2025-06-24,18-23h,Todos,Céu limpo,Não,22,12,48,10
Cruzeiro,2025-06-21,18-23h,Furto,Céu limpo,Sim,11,7,3,0
Sobradinho II,2025-07-02,00-06h,Todos,Céu limpo,Não,5,5,73,9
SCIA/Estrutural,2025-07-16,18-23h,Roubo,Chuva,Sim,1,4,61,3
Asa Norte,2025-07-13,12-18h,Furto,Nublado,Sim,2,11,24,6
Candangolândia,2025-06-29,00-06h,Roubo,Chuva,Não,13,5,88,6
Lago Sul,2025-07-16,12-18h,Furto,Chuva,Não,5,7,35,9
SIA,2025-06-22,12-18h,Todos,Chuva,Sim,6,13,16,5
Recanto das Emas,2025-07-18,18-23h,Furto,Chuva,Sim,2,15,14,2
Sol Nascente/Pôr do Sol,2025-07-09,06-12h,Furto,Chuva,Não,12,3,18,2
SCIA/Estrutural,2025-07-09,00-06h,Furto,Céu limpo,Sim,19,3,48,7
Sobradinho II,2025-07-15,12-18h,Roubo,Nublado,Sim,13,6,83,8
Sobradinho,2025-06-21,00-06h,Roubo,Céu limpo,Sim,11,13,59,7
Guará,2025-07-13,00-06h,Vandalismo,Chuva,Sim,2,9,41,5
Asa Norte,2025-07-05,06-12h,Todos,Nublado,Não,7,12,6,0
Jardim Botânico,2025-07-10,12-18h,Furto,Céu limpo,Sim,12,12,83,9
Cruzeiro,2025-06-23,06-12h,Roubo,Nublado,Sim,26,5,52,4
Varjão,2025-07-04,00-06h,Furto,Chuva,Não,28,1,6,8
Candangolândia,2025-07-07,18-23h,Todos,Céu limpo,Sim,9,0,92,4
Riacho Fundo II,2025-07-17,00-06h,Todos,Céu limpo,Sim,28,4,18,8
Ceilândia,2025-07-14,18-23h,Vandalismo,Nublado,Sim,10,12,11,5
Jardim Botânico,2025-07-19,06-12h,Roubo,Chuva,Sim,8,10,13,7
Águas Claras,2025-07-14,06-12h,Furto,Nublado,Sim,14,13,83,4
Riacho Fundo,2025-06-29,12-18h,Todos,Chuva,Sim,16,0,38,2
Recanto das Emas,2025-07-05,00-06h,Vandalismo,Nublado,Sim,2,6,93,6
Santa Maria,2025-07-17,12-18h,Furto,Chuva,Sim,16,11,92,6
Plano Piloto,2025-07-13,00-06h,Vandalismo,Nublado,Sim,10,9,64,3
São Sebastião,2025-06-28,18-23h,Todos,Chuva,Não,14,9,26,4
Ceilândia,2025-07-07,06-12h,Vandalismo,Chuva,Não,20,11,67,8
Jardim Botânico,2025-07-17,18-23h,Vandalismo,Nublado,Não,0,1,68,3
Cruzeiro,2025-07-04,12-18h,Roubo,Céu limpo,Sim,15,8,30,6
Núcleo Bandeirante,2025-06-25,18-23h,Furto,Nublado,Sim,19,14,3,5
Sol Nascente/Pôr do Sol,2025-07-04,12-18h,Vandalismo,Céu limpo,Sim,8,15,50,1
Lago Sul,2025-07-15,00-06h,Roubo,Chuva,Não,8,4,84,8
Asa Norte,2025-07-15,18-23h,Furto,Chuva,Não,12,10,61,5
Guará,2025-07-10,12-18h,Vandalismo,Céu limpo,Sim,17,10,98,9
Taguatinga,2025-07-17,12-18h,Roubo,Céu limpo,Sim,26,0,52,7
Guará,2025-07-09,18-23h,Roubo,Chuva,Sim,28,10,86,4
Guará,2025-06-27,12-18h,Todos,Céu limpo,Não,23,14,82,7
Itapoã,2025-07-08,00-06h,Furto,Chuva,Sim,29,12,27,6
Recanto das Emas,2025-07-15,06-12h,Roubo,Céu limpo,Sim,21,11,100,9
Recanto das Emas,2025-07-04,18-23h,Roubo,Nublado,Não,25,8,39,9
Varjão,2025-07-13,18-23h,Furto,Nublado,Não,8,12,53,2
Riacho Fundo,2025-07-09,06-12h,Todos,Céu limpo,Não,29,15,64,2
Vicente Pires,2025-06-25,12-18h,Roubo,Céu limpo,Sim,17,2,6,7
Planaltina,2025-07-04,18-23h,Todos,Nublado,Não,29,0,65,6
Águas Claras,2025-07-16,18-23h,Vandalismo,Nublado,Sim,11,3,10,10
Candangolândia,2025-07-03,12-18h,Todos,Céu limpo,Não,9,7,58,2
Gama,2025-06-28,00-06h,Todos,Nublado,Sim,27,11,49,6
Varjão,2025-06-29,12-18h,Furto,Nublado,Sim,8,4,49,5
Sudoeste/Octogonal,2025-07-11,12-18h,Roubo,Chuva,Não,6,3,62,3
Candangolândia,2025-07-14,12-18h,Furto,Céu limpo,Não,13,12,8,0
Lago Norte,2025-07-19,06-12h,Vandalismo,Chuva,Não,27,15,15,3
Planaltina,2025-07-05,12-18h,Vandalismo,Céu limpo,Não,12,2,9,7
Sudoeste/Octogonal,2025-07-01,00-06h,Vandalismo,Céu limpo,Sim,14,6,58,2
Asa Sul,2025-06-29,00-06h,Todos,Nublado,Não,21,15,44,5
Park Way,2025-07-06,06-12h,Vandalismo,Chuva,Não,8,5,1,7
Sobradinho,2025-07-05,00-06h,Furto,Céu limpo,Não,28,11,43,9
Gama,2025-07-04,12-18h,Furto,Chuva,Sim,2,2,18,5
Riacho Fundo,2025-07-14,06-12h,Roubo,Céu limpo,Não,2,0,85,0
Park Way,2025-07-05,06-12h,Vandalismo,Nublado,Não,30,10,86,10
Asa Norte,2025-06-22,12-18h,Todos,Nublado,Sim,14,4,83,10
Riacho Fundo II,2025-06-28,18-23h,Vandalismo,Céu limpo,Não,3,15,68,0
Taguatinga,2025-06-27,06-12h,Roubo,Chuva,Sim,0,1,13,7
Núcleo Bandeirante,2025-07-01,18-23h,Todos,Céu limpo,Sim,2,6,61,1
Park Way,2025-07-06,06-12h,Furto,Céu limpo,Sim,9,0,7,9
Asa Norte,2025-07-12,00-06h,Roubo,Chuva,Não,24,11,38,8
Planaltina,2025-07-05,18-23h,Todos,Chuva,Sim,30,8,96,6
Santa Maria,2025-06-26,18-23h,Vandalismo,Nublado,Sim,10,11,78,5
Riacho Fundo II,2025-07-13,18-23h,Furto,Chuva,Não,22,10,97,6
Asa Norte,2025-07-18,06-12h,Todos,Céu limpo,Não,10,10,41,4
Guará,2025-06-22,12-18h,Roubo,Nublado,Não,26,12,43,7
Riacho Fundo II,2025-07-20,18-23h,Furto,Nublado,Não,11,9,48,1
Varjão,2025-07-04,00-06h,Roubo,Chuva,Não,9,12,67,3
Jardim Botânico,2025-07-11,06-12h,Vandalismo,Chuva,Sim,20,0,36,7
Cruzeiro,2025-07-06,12-18h,Furto,Céu limpo,Sim,25,4,7,2
Riacho Fundo II,2025-07-19,12-18h,Vandalismo,Nublado,Não,17,1,59,0
Ceilândia,2025-07-18,06-12h,Roubo,Nublado,Não,20,14,79,8
Varjão,2025-07-09,12-18h,Todos,Céu limpo,Não,20,6,55,6
Plano Piloto,2025-07-05,06-12h,Roubo,Nublado,Sim,1,7,40,6
Gama,2025-07-09,12-18h,Furto,Nublado,Sim,15,15,50,7
Lago Norte,2025-07-14,12-18h,Furto,Nublado,Sim,9,6,46,5
Samambaia,2025-07-13,00-06h,Furto,Nublado,Não,15,4,94,0
São Sebastião,2025-06-27,00-06h,Todos,Nublado,Não,0,11,93,1
Varjão,2025-07-21,18-23h,Todos,Céu limpo,Sim,14,2,44,6
SCIA/Estrutural,2025-07-16,12-18h,Todos,Nublado,Não,27,5,14,8
Varjão,2025-07-09,00-06h,Furto,Nublado,Não,21,1,10,4
Vicente Pires,2025-07-20,06-12h,Todos,Nublado,Não,12,0,27,7
São Sebastião,2025-07-04,12-18h,Todos,Nublado,Não,6,0,84,10
Lago Sul,2025-06-26,00-06h,Furto,Chuva,Não,1,15,35,2
SCIA/Estrutural,2025-07-12,18-23h,Furto,Chuva,Não,14,11,27,6
Asa Norte,2025-07-01,00-06h,Furto,Chuva,Sim,0,4,90,2
Ceilândia,2025-06-27,12-18h,Furto,Nublado,Não,4,4,91,7
Sol Nascente/Pôr do Sol,2025-07-06,00-06h,Furto,Nublado,Não,14,8,90,4
Sobradinho II,2025-07-08,00-06h,Todos,Céu limpo,Não,15,4,2,7
Lago Sul,2025-07-03,06-12h,Vandalismo,Nublado,Sim,27,14,6,1
Riacho Fundo II,2025-07-01,12-18h,Roubo,Céu limpo,Sim,9,11,17,2
Asa Norte,2025-07-20,00-06h,Vandalismo,Chuva,Sim,29,4,73,1
SIA,2025-06-28,06-12h,Todos,Chuva,Não,29,1,65,3
Santa Maria,2025-06-28,00-06h,Roubo,Céu limpo,Sim,7,15,88,1
Riacho Fundo II,2025-07-03,18-23h,Furto,Nublado,Sim,8,13,47,9
Santa Maria,2025-07-10,00-06h,Vandalismo,Nublado,Sim,23,6,94,3
SCIA/Estrutural,2025-06-23,06-12h,Furto,Chuva,Sim,0,6,48,6
Sudoeste/Octogonal,2025-07-20,00-06h,Furto,Céu limpo,Não,15,9,53,1
Jardim Botânico,2025-07-14,12-18h,Todos,Nublado,Não,15,14,66,0
Sobradinho II,2025-06-30,12-18h,Todos,Chuva,Sim,8,15,99,4
Riacho Fundo,2025-06-28,06-12h,Todos,Céu limpo,Sim,19,13,95,5
Vicente Pires,2025-07-06,00-06h,Vandalismo,Céu limpo,Não,8,2,16,8
Lago Sul,2025-06-25,00-06h,Furto,Chuva,Não,16,15,69,4
Lago Sul,2025-06-27,18-23h,Furto,Céu limpo,Sim,22,4,91,6
Jardim Botânico,2025-07-20,12-18h,Todos,Céu limpo,Não,23,2,73,9
Recanto das Emas,2025-06-27,00-06h,Todos,Nublado,Não,29,0,82,3
Lago Norte,2025-07-06,18-23h,Todos,Chuva,Não,29,13,41,0
Recanto das Emas,2025-07-12,06-12h,Todos,Nublado,Não,24,11,39,6
Recanto das Emas,2025-07-20,12-18h,Roubo,Céu limpo,Não,14,12,99,0
Sobradinho II,2025-07-20,18-23h,Vandalismo,Nublado,Sim,0,4,98,0
Candangolândia,2025-07-01,06-12h,Furto,Nublado,Sim,10,13,95,1
Taguatinga,2025-06-24,18-23h,Roubo,Nublado,Sim,26,3,17,1
Santa Maria,2025-06-23,06-12h,Vandalismo,Céu limpo,Não,4,2,95,3
Planaltina,2025-06-30,00-06h,Vandalismo,Céu limpo,Não,7,6,42,6
Sobradinho II,2025-06-28,06-12h,Furto,Céu limpo,Sim,21,10,39,0
Riacho Fundo,2025-07-20,06-12h,Vandalismo,Nublado,Sim,15,1,72,5
Ceilândia,2025-07-18,00-06h,Todos,Céu limpo,Não,28,12,100,7
Riacho Fundo II,2025-06-21,00-06h,Vandalismo,Céu limpo,Sim,2,1,8,2
Brazlândia,2025-06-24,00-06h,Roubo,Céu limpo,Sim,20,3,91,8
Águas Claras,2025-07-06,06-12h,Furto,Nublado,Não,13,6,1,3
Brazlândia,2025-07-11,18-23h,Roubo,Chuva,Sim,3,12,80,10
Ceilândia,2025-06-28,12-18h,Roubo,Céu limpo,Sim,6,9,41,3
Taguatinga,2025-07-16,18-23h,Furto,Céu limpo,Sim,5,7,41,4
Varjão,2025-07-04,12-18h,Vandalismo,Céu limpo,Não,27,14,54,3
Lago Sul,2025-07-09,18-23h,Todos,Nublado,Sim,5,5,88,3
Vicente Pires,2025-07-14,06-12h,Vandalismo,Chuva,Não,9,2,15,5
Sobradinho II,2025-07-18,18-23h,Vandalismo,Chuva,Não,17,15,60,4
Brazlândia,2025-07-19,00-06h,Roubo,Céu limpo,Não,20,14,26,6
Plano Piloto,2025-07-10,00-06h,Vandalismo,Céu limpo,Sim,1,2,48,10
Asa Sul,2025-07-14,00-06h,Roubo,Chuva,Sim,6,12,91,9
Planaltina,2025-07-03,00-06h,Todos,Chuva,Não,10,2,98,3
Sudoeste/Octogonal,2025-06-22,18-23h,Roubo,Chuva,Não,12,5,27,5
Planaltina,2025-07-07,12-18h,Roubo,Chuva,Não,0,10,49,10
Park Way,2025-07-01,06-12h,Furto,Céu limpo,Sim,1,15,51,2
Samambaia,2025-07-20,06-12h,Vandalismo,Céu limpo,Não,22,1,18,3
Riacho Fundo,2025-07-04,18-23h,Vandalismo,Céu limpo,Não,18,15,5,9
Sobradinho,2025-06-21,06-12h,Todos,Chuva,Sim,7,2,51,2
Sol Nascente/Pôr do Sol,2025-07-15,12-18h,Vandalismo,Nublado,Não,22,6,44,9
Cruzeiro,2025-07-12,18-23h,Vandalismo,Nublado,Não,7,9,61,9
São Sebastião,2025-07-01,00-06h,Vandalismo,Céu limpo,Não,29,0,69,9
Plano Piloto,2025-07-17,18-23h,Roubo,Chuva,Sim,27,1,24,2
SIA,2025-06-25,18-23h,Roubo,Nublado,Não,2,0,2,9
Riacho Fundo II,2025-06-23,06-12h,Roubo,Nublado,Sim,12,10,66,8
Sobradinho II,2025-07-05,06-12h,Vandalismo,Céu limpo,Não,23,11,11,5
Sobradinho,2025-07-03,18-23h,Vandalismo,Chuva,Não,15,0,67,10
Guará,2025-07-06,00-06h,Roubo,Chuva,Não,21,13,66,2
Planaltina,2025-07-19,18-23h,Furto,Céu limpo,Sim,2,0,98,5
Jardim Botânico,2025-07-04,06-12h,Todos,Céu limpo,Não,9,9,11,1
Sobradinho,2025-07-02,00-06h,Furto,Chuva,Não,20,4,70,2
Santa Maria,2025-07-03,00-06h,Roubo,Chuva,Não,4,5,69,0
Samambaia,2025-06-24,00-06h,Furto,Céu limpo,Não,20,14,68,4
Sobradinho II,2025-06-27,00-06h,Furto,Chuva,Não,28,13,6,10
Itapoã,2025-07-15,12-18h,Todos,Nublado,Sim,14,2,8,8
Lago Norte,2025-07-16,00-06h,Vandalismo,Céu limpo,Não,3,1,55,9
Plano Piloto,2025-07-14,18-23h,Roubo,Nublado,Não,20,3,9,0
São Sebastião,2025-06-28,06-12h,Todos,Céu limpo,Não,8,8,17,5
Itapoã,2025-06-29,12-18h,Furto,Chuva,Não,30,9,70,6
Asa Norte,2025-07-19,18-23h,Todos,Chuva,Sim,4,11,15,8
Candangolândia,2025-07-10,18-23h,Vandalismo,Céu limpo,Não,15,13,20,3
Taguatinga,2025-07-11,06-12h,Todos,Chuva,Não,15,7,61,8
Riacho Fundo II,2025-06-26,18-23h,Todos,Nublado,Não,20,8,46,10
Santa Maria,2025-07-13,06-12h,Roubo,Chuva,Sim,12,11,98,0
Núcleo Bandeirante,2025-06-26,06-12h,Vandalismo,Chuva,Sim,15,7,10,10
Taguatinga,2025-07-15,00-06h,Furto,Céu limpo,Não,20,7,47,2
Sudoeste/Octogonal,2025-06-29,06-12h,Todos,Chuva,Sim,23,0,50,3
Candangolândia,2025-07-01,00-06h,Todos,Céu limpo,Não,1,8,8,9
Riacho Fundo II,2025-06-29,12-18h,Vandalismo,Nublado,Sim,29,6,5,3
Samambaia,2025-07-18,12-18h,Furto,Céu limpo,Não,30,8,22,3
Santa Maria,2025-07-12,00-06h,Furto,Nublado,Sim,3,10,64,3
Núcleo Bandeirante,2025-06-27,18-23h,Furto,Nublado,Não,5,12,21,0
SCIA/Estrutural,2025-07-18,00-06h,Furto,Céu limpo,Sim,10,1,84,2
SCIA/Estrutural,2025-07-02,06-12h,Todos,Céu limpo,Não,15,10,53,4
Santa Maria,2025-07-04,12-18h,Vandalismo,Nublado,Não,18,13,38,1
Águas Claras,2025-07-14,18-23h,Roubo,Nublado,Não,30,4,62,5
Sobradinho,2025-07-08,18-23h,Todos,Chuva,Não,11,11,35,2
Candangolândia,2025-06-23,18-23h,Todos,Chuva,Sim,17,3,56,7
Sobradinho II,2025-06-28,12-18h,Vandalismo,Céu limpo,Não,29,7,78,3
Asa Sul,2025-06-23,06-12h,Furto,Nublado,Sim,24,0,69,9
Jardim Botânico,2025-07-09,06-12h,Vandalismo,Nublado,Não,19,5,68,1
Recanto das Emas,2025-07-14,06-12h,Vandalismo,Céu limpo,Não,16,12,82,0
Núcleo Bandeirante,2025-07-09,06-12h,Roubo,Céu limpo,Sim,1,13,42,9
Sobradinho,2025-07-04,00-06h,Vandalismo,Céu limpo,Sim,6,9,8,2
Brazlândia,2025-07-09,00-06h,Furto,Nublado,Não,24,14,2,5
Varjão,2025-07-17,00-06h,Furto,Nublado,Sim,29,1,59,8
Taguatinga,2025-07-03,06-12h,Todos,Chuva,Sim,23,8,28,7
Núcleo Bandeirante,2025-06-22,18-23h,Furto,Nublado,Não,25,13,55,6
SIA,2025-07-13,18-23h,Furto,Nublado,Sim,19,14,10,5
SIA,2025-07-12,12-18h,Todos,Chuva,Sim,28,5,31,1
SCIA/Estrutural,2025-07-19,06-12h,Furto,Nublado,Não,20,7,14,4
Brazlândia,2025-07-15,00-06h,Todos,Chuva,Sim,17,13,17,4
Fercal,2025-07-08,00-06h,Todos,Chuva,Sim,16,15,74,9
Riacho Fundo II,2025-07-11,06-12h,Todos,Céu limpo,Sim,1,15,19,7
Jardim Botânico,2025-07-08,12-18h,Todos,Chuva,Sim,8,12,54,7
Brazlândia,2025-07-07,18-23h,Furto,Chuva,Sim,16,7,69,10
Ceilândia,2025-07-15,06-12h,Roubo,Nublado,Não,8,14,69,4
Santa Maria,2025-06-29,12-18h,Roubo,Chuva,Sim,23,4,67,6
Gama,2025-07-16,00-06h,Vandalismo,Nublado,Sim,14,12,40,8
Candangolândia,2025-07-02,18-23h,Furto,Céu limpo,Não,28,15,4,0
Taguatinga,2025-07-20,06-12h,Furto,Nublado,Não,12,10,7,9
Sobradinho II,2025-06-28,12-18h,Vandalismo,Céu limpo,Não,25,10,39,5
Sobradinho,2025-07-07,18-23h,Vandalismo,Chuva,Sim,17,6,22,3
Santa Maria,2025-06-23,00-06h,Furto,Céu limpo,Não,24,10,50,10
Sobradinho II,2025-06-22,18-23h,Furto,Chuva,Sim,3,2,44,3
Brazlândia,2025-07-12,00-06h,Todos,Nublado,Não,23,11,63,0
Jardim Botânico,2025-06-28,12-18h,Todos,Nublado,Sim,16,10,99,5
São Sebastião,2025-07-18,06-12h,Furto,Céu limpo,Sim,10,12,56,7
Riacho Fundo II,2025-06-30,00-06h,Roubo,Céu limpo,Sim,14,8,72,2
Brazlândia,2025-07-08,12-18h,Furto,Nublado,Não,14,12,65,2
Plano Piloto,2025-07-21,00-06h,Furto,Chuva,Não,9,7,21,1
Lago Sul,2025-07-21,12-18h,Todos,Nublado,Não,17,9,43,5
São Sebastião,2025-07-06,18-23h,Furto,Nublado,Sim,3,3,5,4
Park Way,2025-07-04,06-12h,Todos,Chuva,Sim,8,3,26,4
Jardim Botânico,2025-06-29,00-06h,Vandalismo,Céu limpo,Não,24,13,96,0
São Sebastião,2025-06-27,12-18h,Roubo,Nublado,Não,23,10,30,7
Sobradinho II,2025-07-19,06-12h,Vandalismo,Chuva,Sim,25,3,1,5
Recanto das Emas,2025-07-03,06-12h,Vandalismo,Céu limpo,Não,24,0,11,3
Sol Nascente/Pôr do Sol,2025-06-27,00-06h,Roubo,Chuva,Sim,22,0,78,8
Águas Claras,2025-07-07,18-23h,Furto,Nublado,Sim,15,15,60,5
Samambaia,2025-06-30,18-23h,Todos,Céu limpo,Não,5,6,75,8
São Sebastião,2025-07-10,00-06h,Todos,Chuva,Sim,21,0,56,0
Guará,2025-06-25,06-12h,Todos,Nublado,Não,24,9,79,7
Brazlândia,2025-06-29,12-18h,Todos,Céu limpo,Não,14,13,17,7
Samambaia,2025-07-04,06-12h,Todos,Nublado,Não,13,12,20,1
Varjão,2025-06-21,18-23h,Furto,Nublado,Sim,9,2,83,4
SIA,2025-07-15,06-12h,Todos,Céu limpo,Não,5,2,61,6
Recanto das Emas,2025-07-10,12-18h,Roubo,Céu limpo,Sim,2,3,38,4
Sobradinho II,2025-06-29,12-18h,Todos,Céu limpo,Não,29,12,13,0
Riacho Fundo,2025-07-21,18-23h,Roubo,Céu limpo,Sim,27,10,7,0
SCIA/Estrutural,2025-07-14,00-06h,Todos,Céu limpo,Não,24,6,16,0
Jardim Botânico,2025-07-03,00-06h,Roubo,Céu limpo,Não,21,6,92,6
SIA,2025-06-28,18-23h,Vandalismo,Nublado,Não,28,7,75,6
Planaltina,2025-07-06,06-12h,Todos,Céu limpo,Não,1,12,100,6
Itapoã,2025-07-20,18-23h,Vandalismo,Céu limpo,Não,18,15,85,2
Taguatinga,2025-07-06,00-06h,Furto,Céu limpo,Sim,16,14,71,10
Itapoã,2025-06-24,00-06h,Furto,Céu limpo,Sim,18,11,22,10
Asa Norte,2025-07-21,06-12h,Furto,Chuva,Não,8,10,30,6
SCIA/Estrutural,2025-07-14,18-23h,Roubo,Chuva,Sim,21,5,7,10
Sudoeste/Octogonal,2025-07-20,12-18h,Roubo,Céu limpo,Sim,17,15,46,7
Sol Nascente/Pôr do Sol,2025-07-07,00-06h,Roubo,Céu limpo,Não,26,11,8,4
Brazlândia,2025-06-22,18-23h,Todos,Nublado,Não,30,15,58,0
Gama,2025-06-22,00-06h,Vandalismo,Chuva,Sim,30,10,30,9
Brazlândia,2025-07-18,18-23h,Furto,Céu limpo,Não,0,13,100,0
SCIA/Estrutural,2025-07-07,06-12h,Todos,Chuva,Não,13,6,33,4
Riacho Fundo,2025-06-22,12-18h,Vandalismo,Chuva,Sim,12,4,38,7
Plano Piloto,2025-07-12,06-12h,Furto,Céu limpo,Não,25,10,56,4
Ceilândia,2025-06-23,00-06h,Roubo,Céu limpo,Não,20,5,24,9
Asa Norte,2025-07-21,00-06h,Furto,Chuva,Sim,26,12,75,2
Guará,2025-07-20,12-18h,Furto,Nublado,Sim,20,15,29,9
SIA,2025-07-05,12-18h,Roubo,Nublado,Sim,28,15,56,2
Asa Sul,2025-07-16,06-12h,Vandalismo,Nublado,Não,24,1,23,2
Planaltina,2025-07-05,00-06h,Vandalismo,Nublado,Sim,19,7,80,7
Recanto das Emas,2025-07-01,18-23h,Furto,Céu limpo,Não,21,5,40,7
Varjão,2025-07-12,06-12h,Vandalismo,Chuva,Sim,6,11,10,2
Itapoã,2025-06-30,18-23h,Vandalismo,Céu limpo,Não,18,0,5,9
Lago Norte,2025-07-11,12-18h,Vandalismo,Nublado,Sim,10,0,13,2
Varjão,2025-06-24,18-23h,Roubo,Chuva,Não,28,6,27,3
Park Way,2025-07-13,00-06h,Todos,Céu limpo,Sim,11,9,84,7
Vicente Pires,2025-07-07,00-06h,Furto,Nublado,Sim,19,10,62,8
Jardim Botânico,2025-06-21,06-12h,Roubo,Céu limpo,Não,21,4,8,9
Recanto das Emas,2025-07-05,00-06h,Vandalismo,Chuva,Não,11,2,19,8
Plano Piloto,2025-07-09,06-12h,Todos,Nublado,Não,15,1,7,1
Recanto das Emas,2025-07-21,00-06h,Furto,Nublado,Não,8,5,70,10
Park Way,2025-07-02,06-12h,Vandalismo,Nublado,Não,15,14,11,1
Asa Norte,2025-07-05,18-23h,Todos,Céu limpo,Sim,4,2,32,6
Vicente Pires,2025-07-21,18-23h,Todos,Céu limpo,Sim,4,10,63,4
Águas Claras,2025-07-16,06-12h,Roubo,Céu limpo,Não,20,12,43,6
Arniqueira,2025-07-15,12-18h,Vandalismo,Céu limpo,Sim,10,5,74,7
Sobradinho II,2025-06-23,12-18h,Vandalismo,Chuva,Sim,29,12,54,1
Águas Claras,2025-07-08,06-12h,Vandalismo,Chuva,Sim,11,9,2,9
Sobradinho,2025-06-23,18-23h,Roubo,Céu limpo,Não,24,1,14,3
Arniqueira,2025-07-12,00-06h,Roubo,Chuva,Sim,2,11,73,4
Samambaia,2025-07-06,18-23h,Vandalismo,Céu limpo,Não,6,1,24,8
Planaltina,2025-06-23,06-12h,Vandalismo,Chuva,Sim,12,10,96,6
Gama,2025-07-03,06-12h,Furto,Céu limpo,Sim,6,2,77,5
Asa Norte,2025-06-23,06-12h,Roubo,Chuva,Não,9,8,99,0
SCIA/Estrutural,2025-07-19,12-18h,Todos,Nublado,Não,28,2,29,4
Lago Norte,2025-06-26,18-23h,Roubo,Chuva,Não,29,5,70,8
Riacho Fundo II,2025-06-30,18-23h,Roubo,Nublado,Sim,14,13,40,8
Asa Sul,2025-07-06,12-18h,Roubo,Chuva,Não,20,1,55,7
Santa Maria,2025-07-08,18-23h,Vandalismo,Chuva,Não,23,13,61,7
SCIA/Estrutural,2025-06-21,18-23h,Furto,Céu limpo,Não,27,1,30,8
Gama,2025-07-18,00-06h,Roubo,Nublado,Não,13,12,74,0
Sobradinho,2025-07-08,12-18h,Roubo,Nublado,Sim,25,4,50,5
Varjão,2025-07-04,12-18h,Furto,Céu limpo,Sim,2,13,47,1
Planaltina,2025-07-09,06-12h,Furto,Chuva,Não,28,5,71,6
Sobradinho,2025-07-18,00-06h,Vandalismo,Céu limpo,Não,9,7,98,7
Riacho Fundo,2025-07-14,12-18h,Vandalismo,Chuva,Não,3,15,65,4
Águas Claras,2025-07-10,18-23h,Vandalismo,Céu limpo,Sim,17,12,36,5
SIA,2025-07-21,00-06h,Vandalismo,Céu limpo,Não,22,6,7,3
Planaltina,2025-07-05,00-06h,Vandalismo,Chuva,Sim,27,4,64,4
Santa Maria,2025-07-21,06-12h,Roubo,Chuva,Sim,19,4,37,9
Riacho Fundo,2025-06-23,12-18h,Roubo,Chuva,Não,20,4,14,10
Planaltina,2025-07-12,00-06h,Roubo,Céu limpo,Sim,21,15,66,3
Fercal,2025-07-06,06-12h,Roubo,Nublado,Não,0,0,14,5
Planaltina,2025-07-10,00-06h,Vandalismo,Chuva,Não,29,9,38,5
Itapoã,2025-07-04,06-12h,Todos,Chuva,Não,2,10,44,4
Sobradinho,2025-07-13,12-18h,Vandalismo,Chuva,Sim,26,11,42,1
Asa Norte,2025-06-29,00-06h,Vandalismo,Chuva,Não,10,2,100,4
Vicente Pires,2025-07-15,18-23h,Vandalismo,Chuva,Não,27,11,53,8
Arniqueira,2025-07-03,00-06h,Furto,Chuva,Não,21,12,4,8
Recanto das Emas,2025-07-01,18-23h,Furto,Céu limpo,Sim,22,2,56,8
Sobradinho,2025-07-15,12-18h,Todos,Céu limpo,Sim,18,8,14,5
São Sebastião,2025-06-25,00-06h,Vandalismo,Chuva,Sim,20,4,85,10
Plano Piloto,2025-06-22,12-18h,Roubo,Céu limpo,Sim,1,1,95,9
Samambaia,2025-07-21,18-23h,Roubo,Chuva,Sim,4,2,83,8
Gama,2025-07-14,12-18h,Vandalismo,Céu limpo,Não,30,0,77,5
Plano Piloto,2025-07-18,18-23h,Vandalismo,Chuva,Não,15,7,15,6
Varjão,2025-07-17,06-12h,Furto,Chuva,Não,4,1,25,9
Arniqueira,2025-07-13,12-18h,Roubo,Chuva,Sim,6,13,12,7
Vicente Pires,2025-07-17,00-06h,Furto,Céu limpo,Sim,10,0,8,4
Vicente Pires,2025-07-09,06-12h,Todos,Nublado,Não,2,2,78,9
Itapoã,2025-07-12,06-12h,Vandalismo,Nublado,Sim,13,0,53,0
Guará,2025-06-29,12-18h,Furto,Céu limpo,Sim,7,15,33,10
SIA,2025-07-16,00-06h,Roubo,Nublado,Sim,12,5,47,4
São Sebastião,2025-06-24,06-12h,Todos,Céu limpo,Não,1,8,0,7
Riacho Fundo II,2025-07-15,00-06h,Furto,Nublado,Não,16,0,35,3
Recanto das Emas,2025-07-10,00-06h,Todos,Céu limpo,Não,17,1,65,10
Cruzeiro,2025-07-10,06-12h,Vandalismo,Céu limpo,Não,27,9,87,9
Fercal,2025-07-14,18-23h,Roubo,Céu limpo,Não,30,3,34,1
Vicente Pires,2025-06-21,06-12h,Vandalismo,Chuva,Sim,28,7,77,1
Varjão,2025-06-23,18-23h,Furto,Nublado,Sim,21,9,47,8
Recanto das Emas,2025-07-08,12-18h,Vandalismo,Nublado,Sim,27,10,21,7
Asa Sul,2025-07-16,06-12h,Roubo,Nublado,Não,19,4,52,3
Guará,2025-07-18,18-23h,Todos,Nublado,Não,0,3,35,1
Lago Sul,2025-07-14,12-18h,Roubo,Nublado,Não,21,9,81,10
Itapoã,2025-07-15,00-06h,Roubo,Chuva,Sim,23,9,2,0
Arniqueira,2025-07-21,00-06h,Furto,Nublado,Não,12,7,10,4
